Valor 69640 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 41351 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 26553 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 83959 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 91287 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 21935 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 92394 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 83093 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 17607 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 53956 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 52729 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 57556 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 31887 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 62123 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 89485 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 23689 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 92560 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 60923 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 78782 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 31293 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 37512 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 13032 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 91682 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 50284 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 17304 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 77134 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 20216 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 19648 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 36245 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 19401 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 11043 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 38249 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 25127 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 66581 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 73799 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 80428 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 57474 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 92073 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 99640 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 62543 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 69253 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 81099 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 21128 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 44096 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 26225 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 54203 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 66718 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 25030 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 96449 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 28021 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 70407 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 28952 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 10165 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 14119 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 69092 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 42030 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 96381 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 50589 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 34844 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 81075 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 26954 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 53913 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 87037 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 13765 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 90901 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 98030 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 88547 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 40620 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 22178 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 14900 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 15662 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 34939 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 63705 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 46809 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 21960 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 86112 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 61434 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 76805 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 56818 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 64896 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 77516 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 84393 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 99358 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 28773 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 29144 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 72277 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 73324 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 95381 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 51957 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 92594 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 21446 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 96813 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 45817 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 84079 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 95354 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 71195 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 60620 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 77954 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 84082 encontrado em 2 passos, tempo: 0.000001 segundos
Valor 34331 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 15979 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 40247 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 81365 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 65755 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 44886 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 29197 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 49207 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 19479 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 41168 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 56538 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 47447 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 19554 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 55537 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 12561 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 61652 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 81515 encontrado em 2 passos, tempo: 0.000001 segundos
Valor 33125 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 20907 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 10357 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 49570 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 53999 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 27421 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 41850 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78338 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 57328 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 46279 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 27501 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 83029 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 91886 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 57174 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 25000 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78559 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 12801 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 83603 encontrado em 2 passos, tempo: 0.000001 segundos
Valor 26702 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 10213 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 43191 encontrado em 3 passos, tempo: 0.000000 segundos
Valor 82742 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 75784 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 30937 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 26360 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 80241 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 88054 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 19071 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 80785 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 78502 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 71839 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 32332 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 28161 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 17321 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 57655 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 40744 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78161 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 15857 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 97398 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 79883 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 72723 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 91008 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 93695 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 96565 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 30509 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 18714 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 15258 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 79026 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 72716 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 34726 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 25237 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 22602 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 24021 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 94288 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78155 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 74134 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 64664 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 63248 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 93494 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 59516 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 94820 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 10663 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 56261 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 22286 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 51169 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 36450 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 57394 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 32951 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 95103 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 24725 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 78251 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 55310 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 51920 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 31782 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 42483 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 38887 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 61910 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 44976 encontrado em 1 passos, tempo: 0.000000 segundos
Valor 50386 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 18503 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 56943 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 14252 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 70104 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 67229 encontrado em 1 passos, tempo: 0.000001 segundos
Valor 56409 encontrado em 1 passos, tempo: 0.000001 segundos
